English	Foreign	Transliteration	Context
water	水	-	
coffee	咖啡	-	
with; or; as; to; and; matches	和	-	
tea	茶	-	
rice	米饭	-	
soup	汤	-	
hot	热	-	
this; here's; this is	这是	-	
porridge	粥	-	
tofu	豆腐	-	
America	美国	-	
China	中国	-	
Japan	日本	-	
is; 's; been; was; am; it's; were; yes; did; does; be; are; there's	是	-	
people; man; human; someone; somebody; person; guy	人	-	
I	我	-	
and you; how about you; what about you; what's yours	你呢	-	
Korea; Korean; South Korea	韩国	-	
hi	嗨	-	
English	英文	-	
Chinese	中文	-	
doctor	医生	-	
teacher	老师	-	
right	对不对	-	
lawyer	律师	-	
you; you've; your; you'll; you're	你	-	
speak; speaking; said; spoken; speaks; tell; talking; talked; spoke; talk; saying; say; says	说	-	
is; with; regarding; for; right; pair of; pairs; yes; at; on; about; that's right; to; couple; correct; in; treated	对	-	
student	学生	-	
like; fond of; enjoys; loves; into; likes; liked; liking; love; like to; enjoy; loving	喜欢	-	
course; classes; class; lessons; lesson; the course	课	-	
college student	大学生	-	
math	数学	-	
serving; onto; go; board; take; get on; up; got in; get in; taking; last; going; attending; at; on; over; attend; top; of; go to; in; ons	上	-	
he	他	-	
no; do not; don't; not; is not; are not; does not; neither; wasn't; n't; weren't; can't; won't; aren't; didn't; isn't; cannot; doesn't; wouldn't	不	-	
music	音乐	-	
she	她	-	
dad	爸爸	-	
son	儿子	-	
with; where; that; for; 's; did; at; on; who; about; which; to; whose; of; from; ’s; in; s'	的	-	
mother	妈妈	-	
the UK; the United Kingdom; British; Britain	英国	-	
husband	老公	-	
Canada; Canadian	加拿大	-	
wife	老婆	-	
is; am; were; will; do; did; does; are; should; was; could	吗	-	
as well as; too; also; either; and; as well	也	-	
daughter	女儿	-	
middle school student	中学生	-	
go; to; go on; going to; get to; through; for; get; going; goes; gone; visit; went; go to	去	-	
usually; quite a lot; a lot; frequently	常常	-	
bookstore	书店	-	
supermarket	超市	-	
restaurant	饭馆	-	
