English	Foreign	Transliteration	Context
(as in "i"gloo); (as in dr"i"nk); i	इ	i	
(as in "u"nder); (as in "u"s); uh; ə	अ	a	
come to; come	आ	aa	
ee; (as in Gr"ee"k); (as in s"ee"d)	ई	ii	
kuh; kə; (as in s"ku"ll); (as in "co"me)	क	k	
(as in aar"gh"); ghuh; ghə	घ	gh	
(as in shei"kh"); khuh; khə	ख	kh	
(as in "gu"st); gə; guh; (as in "gu"m)	ग	g	
oo; (as in b"oo"t); (as in sh"oe")	ऊ	uu	
ai; (as in l"i"ne)	ऐ	ai	
u; (as in p"u"ll)	उ	u	
a; (as in l"a"te)	ए	e	
an; a; one; 1	एक	ek	
juh; jə; (as in "j"ump)	ज	j	
chuh; chə; (as in "ch"uck)	च	ch	
jhuh; jhə	झ	jh	
chhuh; chhə	छ	chh	
tuh; tə; (as in 't'andoor)	त	t	
thuh; thə; (as in "th"ump)	थ	th	
do not; nə; (as in "n"one); nuh; not; no	न	n	
duh; də; (as in "the")	द	d	
dhuh; dhə; (as in "dh"arm)	ध	dh	
au; (as in h"ow")	औ	au	
o; (as in h"o"me)	ओ	o	
Nə; Nuh	ण	ṇ	
Thuh; Thə	ठ	ṭh	
Dhuh	ढ	ṛ	
Duh; (as in "d"usty); Də	ड	ṛ	
(as in "t"ough); Tə; Tuh	ट	ṭ	
buh; bə; (as in "b"un)	ब	b	
puh; (as in "p"un); pə; studying	प	p	
mə; muh; (as in "m"oney)	म	m	
phuh; phə; (as in loo"ph"ole)	फ	ph	
bhuh; bhə	भ	bh	
vuh; (as in "v"ulture); and; və	व	v	
ruh; (as in "r"un); rə	र	r	
luh; (as in "l"ove); lə	ल	l	
yuh; yə; (as in "y"uck)	य	ya	
Shuh; Shə	ष	sh	
suh; (as in "s"ome); sə	स	s	
shuh; (as in "sh"ut); shə	श	sh	
huh; (as in "h"um); hə	ह	h	
qhuh; qhə	ख़	qh	
(as in bu"zz"); zə; zuh	ज़	z	
fə; fuh; (as in "fu"n)	फ़	f	
she; her; the; that; those; it; he; she'll	वह	vah	
book	किताब	kitaab	
she; this; her; the; it; he; these	यह	yah	
is; am; is there; it's; want; it is; is it; 's; 're; do; does; have; isn't; has; are; there is; there's; belongs	है	hai	
apples; the apple; apple; an apple; the apples	सेब	seb	
Ramesh	रमेश	ramesh	
and	और	aur	
woman	औरत	aurat	
man; the man; men; the men; a man	आदमी	aadamii	
well; all right; fine; right; okay; fix; fixed	ठीक	ṭhiik	
am; have	हूँ	huun	
girl	लड़की	laṛkii	
I; me	मैं	main	
boy	लड़का	laṛkaa	
account; have; eats; has; eat; an account	खाता	khaataa	
studies; study; read; reads	पढ़ता	paṛtaa	
drinks	पीता	piitaa	
water	पानी	paanii	
banana	केला	kelaa	
drink; have	पीती	piitii	
eat	खाती	khaatii	
tea	चाय	chaaya	
studies; study; read; reads	पढ़ती	paṛtii	
yes	हाँ	haan	
hello; hi; bye	नमस्ते	namaste	
thank you; thank; thanks	धन्यवाद	dhanyavaad	
no	नहीं	nahiin	
you (informal & intimate); you	तू	tuu	
who	कौन	kaun	
did; what; have; is; can; were; will; do; does; had; could; has; are; would; was; what did	क्या	kyaa	
she; this; these; they; he; them	ये	ye	
is; be; are; there are; are there; it's; 's; 're; do; does; have; has; there's	हैं	hain	
three	तीन	tiin	
women; the women	औरतें	auraten	
she; her; the; that; those; they; him; it; he; them; they'll	वे	ve	
two	दो	do	
drink; drinks; have; has	पीते	piite	
eats; account; have; has; eat; accounts	खाते	khaate	
do you; 're; do; be; are; did	हो	ho	
we; us	हम	ham	
you	तुम	tum	
the bananas; bananas; banana; the banana	केले	kele	
books; the books	किताबें	kitaaben	
boys; the boy; boy; the boys	लड़के	laṛke	
girls; the girls	लड़कियाँ	laṛkiyaan	
study; read	पढ़ते	paṛte	
India	भारत	bhaarat	
for; in them; at; to; has; during; in; lies in; on	में	men	
from	से	se	
America	अमेरिका	amerikaa	
stay; live	रहता	rahataa	
stay; live; lives; stays	रहती	rahatii	
yours (m.); your (m.); your	तेरा	teraa	
she; her; hers; his; of that; its; he	उसका	usakaa	
name	नाम	naam	
houses; the house; home; house	घर	ghar	
my	मेरा	meraa	
each; every	हर	har	
brother	भाई	bhaaii	
day; days; the day	दिन	din	
go; would go; leave; goes; does	जाता	jaataa	
son	बेटा	beṭaa	
school	स्कूल	skuul	
your (f.); yours (f.); your	तेरी	terii	
go; goes to; goes; go to; attends	जाती	jaatii	
daughter	बेटी	beṭii	
she; her; hers; him; he; his; of that; its; it	उसकी	usakii	
mine; I; me; my	मेरी	merii	
sister	बहन	bahan	
for; 's; at; about; to; of; from; in; belongs	का	kaa	
belongs; made; 's; about; to; have; of; in; parked	की	kii	
sons; son	बेटे	beṭe	
yours; you; your (pl. obj.); your	तेरे	tere	
daughters	बेटियाँ	beṭiyaan	
's; to; have; of; has; in; from	के	ke	
of mine; mine; me; my; I	मेरे	mere	
sisters	बहनें	bahanen	
she; her; hers; that; him; he; his; of that; its; it	उसके	usake	
her; hers; theirs; their; he; them; his; they	उनकी	unakii	
her; hers; they; theirs; their; his; them	उनका	unakaa	
you	आप	aap	
her; she; hers; they; theirs; their; his; them	उनके	unake	
father	पिता	pitaa	
mother; mom	माँ	maan	
kid; child; baby	बच्चा	bachchaa	
kid; child; the children; the kids; children; kids; baby	बच्चे	bachche	
your	तुम्हारा	tumhaaraa	
went; go to	जाते	jaate	
your; yours; you	तुम्हारी	tumhaarii	
your; yours; you	तुम्हारे	tumhaare	
your; you; yours; for you	आपका	aapakaa	
live	रहते	rahate	
grandmother; grandma; grandmothers	दादी	daadii	
grandfather; grandfathers; grandpa	दादा	daadaa	
friend	दोस्त	dost	
know; get; comes; come; arrives	आता	aataa	
our; us; ours; we	हमारा	hamaaraa	
grandmother	नानी	naanii	
grandfather	नाना	naanaa	
your; her; myself; themselves; himself; ourselves; oneself; their; own; herself; yourself; his; our; yourselves; its; my	अपने	apane	
your; her; their; own; herself; his; our; its; my	अपनी	apanii	
your; her; himself; ourselves; their; herself; yourself; his; our; my; its; own	अपना	apanaa	
together; with	साथ	saath	
cat	बिल्ली	billii	
black	काली	kaalii	
cow	गाय	gaaya	
little; young; shorter; younger; short; smaller; small	छोटी	chhoṭii	
old; older; big	बड़ी	baṛii	
large; huge; great; old; older; elder; big; bigger; grew	बड़ा	baṛaa	
little; young; shorter; younger; short; smaller; small	छोटा	chhoṭaa	
dog	कुत्ता	kuttaa	
black	काला	kaalaa	
the mouse; rat (m.); mouse (m.); mouse; rat	चूहा	chuuhaa	
cows	गायें	gaayen	
cats; the cats	बिल्लियाँ	billiyaan	
milk	दूध	duudh	
mice (m.); rat (obl. case); mouse (obl. case); rats (m.); rats; rat	चूहे	chuuhe	
black	काले	kaale	
dogs; dog; the dogs	कुत्ते	kutte	
the grass; grass	घास	ghaas	
large; huge; great; old; big; bigger; larger	बड़े	baṛe	
little; young; younger; short; smaller; small	छोटे	chhoṭe	
elephant	हाथी	haathii	
the horse; horse	घोड़ा	ghoṛaa	
becomes; would have; would have been	होता	hotaa	
animals; the animals; animal; an animal; the animal	जानवर	jaanavar	
are; were; would have been; would	होते	hote	
is; would have; were; would have been; are; would; end	होती	hotii	
fly	उड़ते	uṛte	
bird	पक्षी	pakshii	
peacock	मोर	mor	
pigeon	कबूतर	kabuutar	
run; runs	दौड़ती	dauṛtii	
functions; walks; walking; moving; walk	चलता	chalataa	
the road	सड़क	saṛk	
