English	Foreign	Transliteration	Context
tea	차	-	
coffee	커피	-	
hello	안녕하세요	-	
I'm; or; I; me	나	-	
juice	주스	-	
and; with	랑	-	
please; please give; please give me; I'd like please; I'd like; give me; give; I'd like it; give us; can I have some please	주세요	-	
bingsu	빙수	-	
cake	케이크	-	
thank you	감사합니다	-	
is; am; are	예요	-	
kimchi	김치	-	
tofu	두부	-	
my	제	-	
japchae	잡채	-	
dumpling	만두	-	
delicious	맛있는	-	
meat	고기	-	
stew	찌개	-	
hot	뜨거운	-	
cell phone	핸드폰	-	
new	새	-	
is; am; are	이에요	-	
bag	가방	-	
wallet	지갑	-	
book	책	-	
white	하얀색	-	
is heavy	무겁다	-	
pen	볼펜	-	
camera	카메라	-	
expensive	비싼	-	
I	저	-	
Mr.; seed; Ms.; (form of address); ssi	씨	-	
Minjun's; Minjun	민준	-	
Bora; Bora's	보라	-	
is	는	-	
company employee	회사원	-	
doctor	의사	-	
teacher	선생님	-	
yes	네	-	
Nice to meet you	반가워요	-	
Chinese; China	중국	-	
person	사람	-	
Korea	한국	-	
USA; American; us	미국	-	
no	아니요	-	
thirty	서른	-	
buy; get; purchase; live; pick up	살	-	
a few; how many; which; what; some	몇	-	
friend	친구	-	
nineteen	열아홉	-	
Meow's; Meow	야옹	-	
five	다섯	-	
grey	회색	-	
cat	고양이	-	
silver; is	은	-	
hungry; are hungry	배고파요	-	
food	음식	-	
How about	어때요	-	
spicy	매운	-	
boss; owner	사장님	-	
galbitang	갈비탕	-	
ramyeon	라면	-	
this	이것	-	
rice	밥	-	
tteokbokki	떡볶이	-	
sweet	단	-	
and; with	이랑	-	
bubble tea	버블티	-	
bread	빵	-	
birthday	생일	-	
today	오늘	-	
's; of; s'; ’s	의	-	
younger sister	여동생	-	
fifteen	열다섯	-	
gift	선물	-	
watch	시계	-	
necklace	목걸이	-	
cute	귀여운	-	
happy birthday	생일 축하해요	-	
with; wow; whoa; come; and	와	-	
would you like; do you want	드릴까요	-	
strawberry	딸기	-	
family	가족	-	
airport	공항	-	
there are; are; is there; there is; is; is on; it's; do you have; is located; have; be; has; I have; is here; exist; there's; are there	있어요	-	
at; on; in; e (sound); to	에	-	
here	여기	-	
passport	여권	-	
ticket	표	-	
bathroom	화장실	-	
restaurant	식당	-	
where	어디	-	
café; cafe	카페	-	
near	근처	-	
gate	게이트	-	
water	물	-	
excuse me	실례합니다	-	
seat	자리	-	
exercise	운동	-	
reading	독서	-	
what	뭐	-	
hobby	취미	-	
even; degrees; do (sound); too; also; as	도	-	
jazz	재즈	-	
K-pop	케이팝	-	
fan	팬	-	
taekwondo	태권도	-	
player	선수	-	
soccer	축구	-	
this; these; 2; two	이	-	
famous	유명한	-	
funny	웃긴	-	
author	작가	-	
actor	배우	-	
melodrama	멜로	-	
drama	드라마	-	
tomorrow	내일	-	
game	경기	-	
baseball	야구	-	
big; is big; large; huge; bigger; are big	크다	-	
there	저기	-	
stadium	경기장	-	
good	좋은	-	
ball	공	-	
go on; fighting; good luck	화이팅	-	
we	우리	-	
beer	맥주	-	
fried chicken	치킨	-	
store	가게	-	
popcorn	팝콘	-	
exit	출구	-	
take care	잘 가요	-	
team	팀	-	
bus	버스	-	
n't; not; isn't	아니다	-	
student ID	학생증	-	
money	돈	-	
stop	정류장	-	
post office	우체국	-	
map	지도	-	
go to; goes; do fly; do get; go; does go; do go; do you go; come; street; to	가	-	
special	특별한	-	
that	저것	-	
cheap	싼	-	
postcard	엽서	-	
Jeju Island	제주도	-	
travel agency	여행사	-	
cup	잔	-	
notebook	수첩	-	
tangerine	귤	-	
Busan; of Busan; in Busan	부산	-	
hometown	고향	-	
parents	부모님	-	
pretty	예쁜	-	
puppy	강아지	-	
six	여섯	-	
air conditioner	에어컨	-	
welcome	환영해요	-	
this person	이분	-	
older brother	형	-	
close	친한	-	
cousin	사촌	-	
fanciest	화려하다	-	
really	정말요	-	
city	도시	-	
dad	아빠	-	
Seoul; in Seoul; of Seoul	서울	-	
professor	교수	-	
lawyer	변호사	-	
student	학생	-	
tall; is tall	높다	-	
camp	캠핑	-	
Friday	금요일	-	
weather	날씨	-	
mountain	산	-	
sweet; is sweet	달다	-	
small; little; is small	작다	-	
expensive; are expensive	비싸다	-	
tent	텐트	-	
apple	사과	-	
clear; is clear	맑다	-	
good; like; is great; great; nice; is nice; are in good	좋다	-	
temperature	기온	-	
lake	호수	-	
however	그런데	-	
doenjang jjigae	된장찌개	-	
snack	과자	-	
many; lots; there are many	많다	-	
tree	나무	-	
morning	아침	-	
mosquito	모기	-	
necessary; need; needing	필요하다	-	
available	한가하다	-	
house	집	-	
Quiet	조용하다	-	
is kind	친절하다	-	
neighbor	이웃	-	
neighborhood	동네	-	
clean	깨끗하다	-	
apartment	아파트	-	
special	특별하다	-	
size	크기	-	
window	창문	-	
room	방	-	
tired; I'm tired	피곤하다	-	
fine	괜찮다	-	
now	이제	-	
price	가격	-	
cool	멋있다	-	
to be interesting; is interesting; funny	재미있다	-	
really	정말	-	
blind date	소개팅	-	
is pretty; pretty	예쁘다	-	
smile	미소	-	
Anna	안나	-	
Saturday	토요일	-	
cold; is cold	춥다	-	
near; close; near by	가깝다	-	
spicy	맵다	-	
Peter	피터	-	
pasta	파스타	-	
cheap; packs; is cheap	싸다	-	
is/are famous; famous	유명하다	-	
hot	뜨겁다	-	
is delicious; are delicious; yum	맛있다	-	
be careful	조심해요	-	
weird; unusual; strange; (is) weird/strange	이상하다	-	
be thankful; thank	고맙다	-	
introduction	소개	-	
little	조금	-	
are beautiful; is beautiful; beautiful	아름답다	-	
To go; going; gone; go	가다	-	
incheon	인천	-	
karaoke room	노래방	-	
famous restaurant	맛집	-	
which	어떤	-	
downtown	시내	-	
bookstore	서점	-	
at; from; in; to	에서	-	
swim	수영하다	-	
sea; ocean	바다	-	
greet; greets	인사하다	-	
subway station	전철역	-	
kitchen	부엌	-	
diligently	열심히	-	
refrigerator	냉장고	-	
living room	거실	-	
couch	소파	-	
television	텔레비전	-	
mom	엄마	-	
studies; studying	공부하다	-	
clean	청소하다	-	
different	다른	-	
desk	책상	-	
bedroom	침실	-	
sometimes	가끔	-	
towel	수건	-	
exercise	운동하다	-	
often	자주	-	
older sister	누나	-	
yard	마당	-	
like; liking	좋아하다	-	
Tuesday	화요일	-	
party	파티	-	
Christmas	크리스마스	-	
hmm	음	-	
sneaker	운동화	-	
red	빨간색	-	
flower	꽃	-	
toy	장난감	-	
bitter; write	쓰다	-	
ice cream	아이스크림	-	
fruit	과일	-	
chocolate	초콜릿	-	
Oh	아	-	
snow	눈	-	
Merry Christmas	메리 크리스마스	-	
game	게임	-	
do	하다	-	
together	같이	-	
concert	콘서트	-	
girl group	걸그룹	-	
internet	인터넷	-	
singer	가수	-	
song	노래	-	
ordered	주문하다	-	
far	멀다	-	
stage	무대	-	
are good at	잘하네요	-	
horse; the horse; horses; language; word; talk; words; of horse	말	-	
Korean	한국어	-	
rap	랩	-	
look around	구경	-	
black	검은색	-	
really	진짜	-	
T-shirt	티셔츠	-	
like	마음에 들어요	-	
enter	들어가다	-	
nearby	가까운	-	
cinema	영화관	-	
sell	팔다	-	
buy; is a four	사다	-	
candy	사탕	-	
snack	간식	-	
hate; dislike	싫어하다	-	
movie	영화	-	
action	액션	-	
is scary	무섭다	-	
remember	기억하다	-	
number	번호	-	
tidy; organize; clear	정리하다	-	
see you again	또 봐요	-	
trash can	쓰레기통	-	
father; encounter; encountering; met; seeing; encounters	만나다	-	
borrow; borrows; rent; borrowing	빌리다	-	
Reo (sound)	러	-	
library	도서관	-	
read; reads	읽다	-	
locate; discover; searches; seek	찾다	-	
comes; coming; come	오다	-	
go; to	으러	-	
dictionary	사전	-	
textbook	교과서	-	
watch; seen; sees; looking; watches; than	보다	-	
weekly	매주	-	
English	영어	-	
place	곳	-	
computer	컴퓨터	-	
every day	매일	-	
magazine	잡지	-	
comic	만화	-	
newspaper	신문	-	
always	항상	-	
copier	복사기	-	
slow	느리다	-	
familiar	익숙하다	-	
bike	자전거	-	
card	카드	-	
taking	타다	-	
car	자동차	-	
park	주차	-	
crowded; intricate	복잡하다	-	
helmet	헬멧	-	
drive	운전	-	
road	길	-	
stair	계단	-	
station	역	-	
subway	지하철	-	
Gangnam	강남	-	
sit	앉다	-	
terminal	터미널	-	
oh no	이런	-	
transportation	교통	-	
is fresh	신선하다	-	
mart	마트	-	
shop	쇼핑	-	
goods	물건	-	
galbi; grilled ribs; rib; ribs	갈비	-	
how much	얼마	-	
naengmyeon	냉면	-	
gotten	되다	-	
cola	콜라	-	
discount	할인	-	
drink	음료수	-	
banana	바나나	-	
grape	포도	-	
green	초록색	-	
employee	직원	-	
